timestamp,datetime,open,high,low,close,volume,funding_rate
1753740000,2025-07-28 22:00:00,118181,118340,117777,117897,1336.39808,NaN
1753743600,2025-07-28 23:00:00,117905,118230,117871,118118,344.50325,NaN
1753747200,2025-07-29 00:00:00,118117,118580,117566,118017,1233.85758,NaN
1753750800,2025-07-29 01:00:00,118017,118288,117809,117810,376.18293,NaN
1753754400,2025-07-29 02:00:00,117810,118150,117456,118131,1203.79522,NaN
1753758000,2025-07-29 03:00:00,118131,118802,118131,118788,1139.81431,NaN
1753761600,2025-07-29 04:00:00,118796,118840,118444,118550,953.32556,NaN
1753765200,2025-07-29 05:00:00,118551,118896,118551,118837,333.15962,NaN
1753768800,2025-07-29 06:00:00,118838,119116,118759,118784,678.15584,NaN
1753772400,2025-07-29 07:00:00,118785,119339,118785,118945,1300.63847,NaN
1753776000,2025-07-29 08:00:00,118945,119125,118824,118969,681.54583,NaN
1753779600,2025-07-29 09:00:00,118975,119050,118822,118854,218.80211,NaN
1753783200,2025-07-29 10:00:00,118854,118905,118376,118377,811.35226,NaN
1753786800,2025-07-29 11:00:00,118377,118672,118223,118668,607.13576,NaN
1753790400,2025-07-29 12:00:00,118668,119200,118513,118982,1685.10147,NaN
1753794000,2025-07-29 13:00:00,118981,119099,118603,118706,816.71556,NaN
1753797600,2025-07-29 14:00:00,118710,118718,117763,117903,2775.59966,NaN
1753801200,2025-07-29 15:00:00,117903,118048,117302,117471,2564.48355,NaN
1753804800,2025-07-29 16:00:00,117470,117815,117003,117791,2544.17098,NaN
1753808400,2025-07-29 17:00:00,117792,118162,117687,117861,1279.31931,NaN
1753812000,2025-07-29 18:00:00,117861,117912,117551,117681,837.95213,NaN
1753815600,2025-07-29 19:00:00,117681,118088,117485,117607,899.33476,NaN
1753819200,2025-07-29 20:00:00,117607,117996,117109,117560,4702.86066,NaN
1753822800,2025-07-29 21:00:00,117559,117739,117212,117644,639.07374,NaN
1753826400,2025-07-29 22:00:00,117644,117887,117471,117887,694.56162,NaN
1753830000,2025-07-29 23:00:00,117886,118027,117759,117992,298.25021,NaN
1753833600,2025-07-30 00:00:00,117992,118027,117569,117786,808.78815,NaN
1753837200,2025-07-30 01:00:00,117787,118092,117444,117910,357.15925,NaN
1753840800,2025-07-30 02:00:00,117909,118150,117825,118062,292.85193,NaN
1753844400,2025-07-30 03:00:00,118062,118277,117939,118204,379.57825,NaN
1753848000,2025-07-30 04:00:00,118203,118328,118000,118040,322.91307,NaN
1753851600,2025-07-30 05:00:00,118040,118113,117703,118031,395.15244,NaN
1753855200,2025-07-30 06:00:00,118030,118372,118030,118335,283.42624,NaN
1753858800,2025-07-30 07:00:00,118335,118468,118145,118162,390.78769,NaN
1753862400,2025-07-30 08:00:00,118162,118533,117996,118452,650.42098,NaN
1753866000,2025-07-30 09:00:00,118453,118485,118031,118216,680.64885,NaN
1753869600,2025-07-30 10:00:00,118216,118461,117972,118045,862.961,NaN
1753873200,2025-07-30 11:00:00,118044,118212,117400,117571,1209.62578,NaN
1753876800,2025-07-30 12:00:00,117571,117939,117352,117768,1157.22301,NaN
1753880400,2025-07-30 13:00:00,117769,117897,117454,117703,1220.47294,NaN
1753884000,2025-07-30 14:00:00,117703,118758,117638,118758,1708.08464,NaN
1753887600,2025-07-30 15:00:00,118758,118848,117856,118033,1074.27642,NaN
1753891200,2025-07-30 16:00:00,118032,118056,117668,117769,775.38584,NaN
1753894800,2025-07-30 17:00:00,117771,117996,117680,117837,380.03128,NaN
1753898400,2025-07-30 18:00:00,117838,118107,116607,116608,3992.80883,NaN
1753902000,2025-07-30 19:00:00,116607,117181,115828,116982,6472.27747,NaN
1753905600,2025-07-30 20:00:00,116983,117394,116946,117263,1754.16455,NaN
1753909200,2025-07-30 21:00:00,117264,117422,117037,117414,647.85644,NaN
1753912800,2025-07-30 22:00:00,117415,117560,117324,117557,558.22786,NaN
1753916400,2025-07-30 23:00:00,117558,117997,117522,117915,583.55028,NaN
1753920000,2025-07-31 00:00:00,117915,118609,117858,118486,1608.52072,NaN
1753923600,2025-07-31 01:00:00,118487,118548,118064,118122,747.74414,NaN
1753927200,2025-07-31 02:00:00,118123,118598,118044,118556,1333.80838,NaN
1753930800,2025-07-31 03:00:00,118556,118757,118475,118548,321.93425,NaN
1753934400,2025-07-31 04:00:00,118558,118660,118445,118611,562.55946,NaN
1753938000,2025-07-31 05:00:00,118610,118635,118400,118429,522.48413,NaN
1753941600,2025-07-31 06:00:00,118428,118834,118376,118777,434.32132,NaN
1753945200,2025-07-31 07:00:00,118778,119027,118676,118761,938.40986,NaN
1753948800,2025-07-31 08:00:00,118760,118843,118650,118683,455.86879,NaN
1753952400,2025-07-31 09:00:00,118683,118700,118548,118681,209.61853,NaN
1753956000,2025-07-31 10:00:00,118681,118799,118502,118581,212.65369,NaN
1753959600,2025-07-31 11:00:00,118580,118630,118351,118410,665.25975,NaN
1753963200,2025-07-31 12:00:00,118410,118709,118343,118688,425.17527,NaN
1753966800,2025-07-31 13:00:00,118688,118770,117880,118638,1594.50701,NaN
1753970400,2025-07-31 14:00:00,118639,118709,117960,117964,1053.25054,NaN
1753974000,2025-07-31 15:00:00,117964,118400,117917,118369,666.19703,NaN
1753977600,2025-07-31 16:00:00,118369,118955,118287,118612,1245.70165,NaN
1753981200,2025-07-31 17:00:00,118612,118624,117758,117801,1439.57712,NaN
1753984800,2025-07-31 18:00:00,117801,117858,117435,117803,1360.48328,NaN
