Timestamp,Open,High,Low,Close,Volume,Funding Rate,Position,Trading PnL,Funding PnL,Total PnL,Equity
2025-07-10T09:00:00+00:00,111232,111232,110983,111015,644.32177,,0.0,0,0,0,10000
2025-07-10T10:00:00+00:00,111014,111099,110833,111077,519.84836,,0.0,0,0,0,10000
2025-07-10T11:00:00+00:00,111076,111153,110948,111003,235.23927,,0.0,0,0,0,10000
2025-07-10T12:00:00+00:00,111004,111004,110727,110846,827.7998,,0.0,0,0,0,10000
2025-07-10T13:00:00+00:00,110846,111031,110526,110759,1633.78443,,0.0,0,0,0,10000
2025-07-10T14:00:00+00:00,110762,111283,110624,111232,1058.52359,,0.0,0,0,0,10000
2025-07-10T15:00:00+00:00,111231,111380,110948,111380,894.04291,,0.0,0,0,0,10000
2025-07-10T16:00:00+00:00,111379,112720,111320,112635,4918.61443,,0.0,0,0,0,10000
2025-07-10T17:00:00+00:00,112635,113771,112552,113710,3665.22961,,0.0,0,0,0,10000
2025-07-10T18:00:00+00:00,113711,113715,112975,113401,2113.54007,,0.0,0,0,0,10000
2025-07-10T19:00:00+00:00,113400,113650,113076,113281,1476.04275,,0.0,0,0,0,10000
2025-07-10T20:00:00+00:00,113281,113540,113238,113464,829.15595,,0.0,0,0,0,10000
2025-07-10T21:00:00+00:00,113463,117863,113362,116525,13623.18452,,0.0,0,0,0,10000
2025-07-10T22:00:00+00:00,116526,116544,115820,116059,2199.53796,,0.0,0,0,0,10000
2025-07-10T23:00:00+00:00,116060,116139,115672,116058,1321.72379,,0.0,0,0,0,10000
2025-07-11T00:00:00+00:00,116058,116117,115240,115620,1826.04433,,0.0,0,0,0,10000
2025-07-11T01:00:00+00:00,115619,116113,115539,116010,1146.75127,,0.0,0,0,0,10000
2025-07-11T02:00:00+00:00,116010,116847,115750,116690,1519.39237,,0.0,0,0,0,10000
2025-07-11T03:00:00+00:00,116689,117020,116388,116924,1291.63471,,0.0,0,0,0,10000
2025-07-11T04:00:00+00:00,116924,116973,116547,116930,569.91544,,0.0,0,0,0,10000
2025-07-11T05:00:00+00:00,116931,118470,116930,117882,4165.52703,,0.0,0,0,0,10000
2025-07-11T06:00:00+00:00,117889,118480,117700,117713,3776.08508,,0.0,0,0,0,10000
2025-07-11T07:00:00+00:00,117714,118197,117566,117660,890.50742,,0.0,0,0,0,10000
2025-07-11T08:00:00+00:00,117660,118237,117660,118058,821.04068,,0.0,0,0,0,10000
2025-07-11T09:00:00+00:00,118057,118970,117967,118566,1884.60924,,0.0,0,0,0,10000
2025-07-11T10:00:00+00:00,118567,118567,118029,118062,1047.55745,,0.0,0,0,0,10000
2025-07-11T11:00:00+00:00,118061,118190,117679,117891,904.33436,,0.0,0,0,0,10000
2025-07-11T12:00:00+00:00,117892,118340,117792,117937,1171.07204,,0.0,0,0,0,10000
2025-07-11T13:00:00+00:00,117936,118277,117343,118059,1516.04741,,0.0,0,0,0,10000
2025-07-11T14:00:00+00:00,118060,118266,117483,117947,1747.28984,,0.0,0,0,0,10000
2025-07-11T15:00:00+00:00,117948,118050,116836,117033,3549.75054,,0.0,0,0,0,10000
2025-07-11T16:00:00+00:00,117033,117587,116692,117528,3420.65005,,0.0,0,0,0,10000
2025-07-11T17:00:00+00:00,117528,117857,117390,117758,1150.16836,,0.0,0,0,0,10000
2025-07-11T18:00:00+00:00,117758,117866,117421,117832,588.88916,,0.0,0,0,0,10000
2025-07-11T19:00:00+00:00,117832,118304,117552,118221,1571.96009,,0.0,0,0,0,10000
2025-07-11T20:00:00+00:00,118221,118221,117760,117762,533.42108,,0.0,0,0,0,10000
2025-07-11T21:00:00+00:00,117761,118000,117563,117717,610.52579,,0.0,0,0,0,10000
2025-07-11T22:00:00+00:00,117716,117753,117260,117724,1127.94669,,0.0,0,0,0,10000
2025-07-11T23:00:00+00:00,117723,117760,117544,117603,329.36603,,0.0,0,0,0,10000
2025-07-12T00:00:00+00:00,117602,117719,117188,117495,398.32146,,0.0,0,0,0,10000
2025-07-12T01:00:00+00:00,117494,117774,117494,117740,263.16576,,0.0,0,0,0,10000
2025-07-12T02:00:00+00:00,117739,117899,117654,117684,228.18781,,0.0,0,0,0,10000
2025-07-12T03:00:00+00:00,117683,117936,117683,117841,292.1703,,0.0,0,0,0,10000
2025-07-12T04:00:00+00:00,117842,117964,117649,117719,229.66896,,0.0,0,0,0,10000
2025-07-12T05:00:00+00:00,117719,117770,117581,117751,308.46524,,0.0,0,0,0,10000
2025-07-12T06:00:00+00:00,117752,118105,117724,117949,877.80547,,0.0,0,0,0,10000
2025-07-12T07:00:00+00:00,117949,118169,117729,117819,243.75512,,0.0,0,0,0,10000
2025-07-12T08:00:00+00:00,117820,117989,117820,117988,205.32689,,0.0,0,0,0,10000
2025-07-12T09:00:00+00:00,117987,118332,117957,118265,305.87463,,0.0,0,0,0,10000
2025-07-12T10:00:00+00:00,118266,118266,117976,118178,314.11335,,0.0,0,0,0,10000
2025-07-12T11:00:00+00:00,118178,118199,117620,117833,1785.40742,,0.0,0,0,0,10000
2025-07-12T12:00:00+00:00,117833,117897,117312,117560,1044.91791,,0.0,0,0,0,10000
2025-07-12T13:00:00+00:00,117559,117607,117260,117544,796.95235,,0.0,0,0,0,10000
2025-07-12T14:00:00+00:00,117543,117787,117334,117423,712.85155,,0.0,0,0,0,10000
2025-07-12T15:00:00+00:00,117423,117506,116964,117148,1110.35324,,0.0,0,0,0,10000
2025-07-12T16:00:00+00:00,117149,117438,117098,117229,392.47116,,0.0,0,0,0,10000
2025-07-12T17:00:00+00:00,117230,117603,117220,117528,459.51816,,0.0,0,0,0,10000
2025-07-12T18:00:00+00:00,117529,117570,117421,117553,195.36873,,0.0,0,0,0,10000
2025-07-12T19:00:00+00:00,117554,117694,117502,117616,203.42705,,0.0,0,0,0,10000
2025-07-12T20:00:00+00:00,117617,117617,117080,117080,406.5046,,0.0,0,0,0,10000
2025-07-12T21:00:00+00:00,117081,117639,117041,117551,593.68798,,0.0,0,0,0,10000
2025-07-12T22:00:00+00:00,117552,117620,117374,117444,253.11479,,0.0,0,0,0,10000
2025-07-12T23:00:00+00:00,117444,117527,117262,117487,425.94731,,0.0,0,0,0,10000
2025-07-13T00:00:00+00:00,117488,117529,117321,117377,302.32121,,0.0,0,0,0,10000
2025-07-13T01:00:00+00:00,117377,117730,117264,117619,296.75103,,0.0,0,0,0,10000
2025-07-13T02:00:00+00:00,117619,117881,117471,117697,255.85344,,0.0,0,0,0,10000
2025-07-13T03:00:00+00:00,117697,117904,117660,117831,444.10156,,0.0,0,0,0,10000
2025-07-13T04:00:00+00:00,117831,117998,117760,117981,496.83985,,0.0,0,0,0,10000
2025-07-13T05:00:00+00:00,117981,118002,117782,117839,364.85221,,0.0,0,0,0,10000
2025-07-13T06:00:00+00:00,117839,118077,117818,117975,185.26884,,0.0,0,0,0,10000
2025-07-13T07:00:00+00:00,117975,118150,117937,118091,229.52249,,0.0,0,0,0,10000
2025-07-13T08:00:00+00:00,118090,118098,117823,117978,393.61717,,0.0,0,0,0,10000
2025-07-13T09:00:00+00:00,117977,117987,117757,117820,89.36208,,0.0,0,0,0,10000
2025-07-13T10:00:00+00:00,117820,117937,117817,117831,102.92777,,0.0,0,0,0,10000
2025-07-13T11:00:00+00:00,117831,118200,117831,118175,585.79811,,0.0,0,0,0,10000
2025-07-13T12:00:00+00:00,118175,118759,118086,118498,988.00969,,0.0,0,0,0,10000
2025-07-13T13:00:00+00:00,118498,118864,118242,118705,1697.28109,,0.0,0,0,0,10000
